Rank,City_country,Attribute,Value
25,"Odense, Denmark",Nike runners,64.81
26,"Sacramento, CA, United States",Food,124.03
26,"Sacramento, CA, United States",Cigarettes 20 Pack,11.06
26,"Sacramento, CA, United States",Public Transport,79.03
26,"Sacramento, CA, United States",Petrol 50L ,106.5
26,"Sacramento, CA, United States",Utility bills ,199.44
26,"Sacramento, CA, United States",Internet 60mbps ,31.36
26,"Sacramento, CA, United States",Gym monthly ,37.7
26,"Sacramento, CA, United States",Cinema (1 ticket),13.17
26,"Sacramento, CA, United States",Levi 501 Jeans,103.86
26,"Sacramento, CA, United States",Nike runners,93.61
27,"Boston, MA, United States",Food,128.95
27,"Boston, MA, United States",Cigarettes 20 Pack,8.65
27,"Boston, MA, United States",Public Transport,70.88
27,"Boston, MA, United States",Petrol 50L ,107
27,"Boston, MA, United States",Utility bills ,211
27,"Boston, MA, United States",Internet 60mbps ,33.65
27,"Boston, MA, United States",Gym monthly ,38.61
27,"Boston, MA, United States",Cinema (1 ticket),17.01
27,"Boston, MA, United States",Levi 501 Jeans,86.81
27,"Boston, MA, United States",Nike runners,94.5
28,"Irvine, CA, United States",Food,134.38
28,"Irvine, CA, United States",Cigarettes 20 Pack,9.5
28,"Irvine, CA, United States",Public Transport,90
28,"Irvine, CA, United States",Petrol 50L ,78
28,"Irvine, CA, United States",Utility bills ,193.45
28,"Irvine, CA, United States",Internet 60mbps ,71.25
28,"Irvine, CA, United States",Gym monthly ,83.75
28,"Irvine, CA, United States",Cinema (1 ticket),15
28,"Irvine, CA, United States",Levi 501 Jeans,54.67
28,"Irvine, CA, United States",Nike runners,103.33
29,"Washington, DC, United States",Food,120.31
29,"Washington, DC, United States",Cigarettes 20 Pack,10.25
29,"Washington, DC, United States",Public Transport,104
29,"Washington, DC, United States",Petrol 50L ,64.5
29,"Washington, DC, United States",Utility bills ,88.24
29,"Washington, DC, United States",Internet 60mbps ,74.38
29,"Washington, DC, United States",Gym monthly ,30
29,"Washington, DC, United States",Cinema (1 ticket),18
29,"Washington, DC, United States",Levi 501 Jeans,50.75
29,"Washington, DC, United States",Nike runners,77.5
30,"San Jose, CA, United States",Food,114.83
30,"San Jose, CA, United States",Cigarettes 20 Pack,7.8
30,"San Jose, CA, United States",Public Transport,56.7
30,"San Jose, CA, United States",Petrol 50L ,105
30,"San Jose, CA, United States",Utility bills ,203.32
30,"San Jose, CA, United States",Internet 60mbps ,31.72
30,"San Jose, CA, United States",Gym monthly ,34
30,"San Jose, CA, United States",Cinema (1 ticket),17.01
30,"San Jose, CA, United States",Levi 501 Jeans,86.82
30,"San Jose, CA, United States",Nike runners,90.35
31,"San Diego, CA, United States",Food,112.06
31,"San Diego, CA, United States",Cigarettes 20 Pack,8.64
31,"San Diego, CA, United States",Public Transport,104.85
31,"San Diego, CA, United States",Petrol 50L ,112.5
31,"San Diego, CA, United States",Utility bills ,281.94
31,"San Diego, CA, United States",Internet 60mbps ,49.7
31,"San Diego, CA, United States",Gym monthly ,42.77
31,"San Diego, CA, United States",Cinema (1 ticket),14.23
31,"San Diego, CA, United States",Levi 501 Jeans,89.57
31,"San Diego, CA, United States",Nike runners,100.76
32,"Brisbane, Australia",Food,131.83
32,"Brisbane, Australia",Cigarettes 20 Pack,3.46
32,"Brisbane, Australia",Public Transport,42.25
32,"Brisbane, Australia",Petrol 50L ,71.5
32,"Brisbane, Australia",Utility bills ,182.13
32,"Brisbane, Australia",Internet 60mbps ,22.48
32,"Brisbane, Australia",Gym monthly ,55.88
32,"Brisbane, Australia",Cinema (1 ticket),9.6
32,"Brisbane, Australia",Levi 501 Jeans,58.26
32,"Brisbane, Australia",Nike runners,70.81
33,Data Unavailable for this city,No data for this city,0
34,"Nashville, TN, United States",Food,91.41
34,"Nashville, TN, United States",Cigarettes 20 Pack,15.99
34,"Nashville, TN, United States",Public Transport,184.5
34,"Nashville, TN, United States",Petrol 50L ,108
34,"Nashville, TN, United States",Utility bills ,299.36
34,"Nashville, TN, United States",Internet 60mbps ,35.92
34,"Nashville, TN, United States",Gym monthly ,52.08
34,"Nashville, TN, United States",Cinema (1 ticket),14.76
34,"Nashville, TN, United States",Levi 501 Jeans,89.1
34,"Nashville, TN, United States",Nike runners,91.32
35,"Miami, FL, United States",Food,138.8
35,"Miami, FL, United States",Cigarettes 20 Pack,11.5
35,"Miami, FL, United States",Public Transport,95
35,"Miami, FL, United States",Petrol 50L ,78
35,"Miami, FL, United States",Utility bills ,299.18
35,"Miami, FL, United States",Internet 60mbps ,55.15
35,"Miami, FL, United States",Gym monthly ,60.44
35,"Miami, FL, United States",Cinema (1 ticket),13.75
35,"Miami, FL, United States",Levi 501 Jeans,55.44
35,"Miami, FL, United States",Nike runners,97.86
36,"Denver, CO, United States",Food,99.62
36,"Denver, CO, United States",Cigarettes 20 Pack,10.06
36,"Denver, CO, United States",Public Transport,68.49
36,"Denver, CO, United States",Petrol 50L ,117.5
36,"Denver, CO, United States",Utility bills ,108.82
36,"Denver, CO, United States",Internet 60mbps ,22.85
36,"Denver, CO, United States",Gym monthly ,38.9
36,"Denver, CO, United States",Cinema (1 ticket),15.81
36,"Denver, CO, United States",Levi 501 Jeans,95.97
36,"Denver, CO, United States",Nike runners,81.14
